0:14:12,TomaNro= 70,    Disip: ,31.25, ºC     , Peltier: ,20.79, ºC     , teInsta: ,17.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,431 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,COOLINGconPWM=255,
0:14:18,TomaNro= 71,    Disip: ,31.25, ºC     , Peltier: ,19.98, ºC     , teInsta: ,17.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,437 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,COOLINGconPWM=255,
0:14:24,TomaNro= 72,    Disip: ,31.25, ºC     , Peltier: ,19.12, ºC     , teInsta: ,17.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,443 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,COOLINGconPWM=255,
0:14:30,TomaNro= 73,    Disip: ,31.25, ºC     , Peltier: ,18.29, ºC     , teInsta: ,17.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,449 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,COOLINGconPWM=255,
0:14:36,TomaNro= 74,    Disip: ,31.25, ºC     , Peltier: ,17.4, ºC     , teInsta: ,17.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,455 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,COOLINGconPWM=250,

0:14:42,TomaNro= 75,    Disip: ,31.25, ºC     , Peltier: ,16.73, ºC     , teInsta: ,26.53, ºC     , teAire: ,21.25, ºC     , Corrida: ,461 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,HEATINGconPWM=255,

0:14:49,TomaNro= 76,    Disip: ,31.25, ºC     , Peltier: ,17.35, ºC     , teInsta: ,20.65, ºC     , teAire: ,21.25, ºC     , Corrida: ,467 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,HEATINGconPWM=255,

0:14:55,TomaNro= 77,    Disip: ,31.25, ºC     , Peltier: ,19.11, ºC     , teInsta: ,18.4, ºC     , teAire: ,21.25, ºC     , Corrida: ,474 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,HEATINGconPWM=212,

0:15:1,TomaNro= 78,    Disip: ,31.25, ºC     , Peltier: ,20.7, ºC     , teInsta: ,17.53, ºC     , teAire: ,21.25, ºC     , Corrida: ,480 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,COOLINGconPWM=255,

0:15:7,TomaNro= 79,    Disip: ,31.25, ºC     , Peltier: ,21.06, ºC     , teInsta: ,17.2, ºC     , teAire: ,21.25, ºC     , Corrida: ,486 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,COOLINGconPWM=255,

0:15:13,TomaNro= 80,    Disip: ,31.25, ºC     , Peltier: ,20.5, ºC     , teInsta: ,17.0, ºC     , teAire: ,21.5, ºC     , Corrida: ,492 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,COOLINGconPWM=255,
0:15:19,TomaNro= 81,    Disip: ,31.25, ºC     , Peltier: ,19.7, ºC     , teInsta: ,17.0, ºC     , teAire: ,21.5, ºC     , Corrida: ,498 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,COOLINGconPWM=255,
0:15:25,TomaNro= 82,    Disip: ,31.25, ºC     , Peltier: ,18.87, ºC     , teInsta: ,17.0, ºC     , teAire: ,21.5, ºC     , Corrida: ,504 seg , T1 Goal: ,8.0,T2 Meta ,20.0,Modo ,3  E: ,COOLINGconPWM=255,
