  ,  , Corrida: ,1266 seg ,  ,  , Peltier: ,20.89, ºC     , teInsta: ,16.33, ºC     , Disip: ,21.37, ºC     ,  ,5:30:37,  E: ,COOLINGconPWM=255,   TomaNro= 50,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,264.0,,
  ,  , Corrida: ,1282 seg ,  ,  , Peltier: ,20.9, ºC     , teInsta: ,16.33, ºC     , Disip: ,21.37, ºC     ,  ,5:30:53,  E: ,COOLINGconPWM=255,   TomaNro= 51,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,264.0,,
  ,  , Corrida: ,1287 seg ,  ,  , Peltier: ,20.88, ºC     , teInsta: ,16.33, ºC     , Disip: ,21.37, ºC     ,  ,5:30:58,  E: ,COOLINGconPWM=255,   TomaNro= 52,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,264.0,,
  ,  , Corrida: ,1293 seg ,  ,  , Peltier: ,20.89, ºC     , teInsta: ,16.33, ºC     , Disip: ,21.37, ºC     ,  ,5:31:4,  E: ,COOLINGconPWM=255,   TomaNro= 53,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,264.0,,
  ,  , Corrida: ,1303 seg ,  ,  , Peltier: ,20.88, ºC     , teInsta: ,16.33, ºC     , Disip: ,21.37, ºC     ,  ,5:31:14,  E: ,COOLINGconPWM=255,   TomaNro= 54,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,264.0,,
  ,  , Corrida: ,1308 seg ,  ,  , Peltier: ,20.89, ºC     , teInsta: ,16.33, ºC     , Disip: ,21.37, ºC     ,  ,5:31:19,  E: ,COOLINGconPWM=255,   TomaNro= 55,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,264.0,,
  ,  , Corrida: ,1319 seg ,  ,  , Peltier: ,20.87, ºC     , teInsta: ,16.33, ºC     , Disip: ,21.37, ºC     ,  ,5:31:30,  E: ,COOLINGconPWM=255,   TomaNro= 56,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,264.0,,
  ,  , Corrida: ,1324 seg ,  ,  , Peltier: ,20.88, ºC     , teInsta: ,16.33, ºC     , Disip: ,21.37, ºC     ,  ,5:31:35,  E: ,COOLINGconPWM=255,   TomaNro= 57,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,264.0,,
  ,  , Corrida: ,1329 seg ,  ,  , Peltier: ,20.87, ºC     , teInsta: ,16.33, ºC     , Disip: ,21.37, ºC     ,  ,5:31:40,  E: ,COOLINGconPWM=255,   TomaNro= 58,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,264.0,,
  ,  , Corrida: ,1491 seg ,  ,  , Peltier: ,20.87, ºC     , teInsta: ,16.32, ºC     , Disip: ,21.37, ºC     ,  ,5:34:23,  E: ,COOLINGconPWM=255,   TomaNro= 59,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,264.0,,
  ,  , Corrida: ,1497 seg ,  ,  , Peltier: ,20.87, ºC     , teInsta: ,16.32, ºC     , Disip: ,21.37, ºC     ,  ,5:34:28,  E: ,COOLINGconPWM=255,   TomaNro= 60,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,264.0,,
  ,  , Corrida: ,1502 seg ,  ,  , Peltier: ,20.86, ºC     , teInsta: ,16.32, ºC     , Disip: ,21.37, ºC     ,  ,5:34:33,  E: ,COOLINGconPWM=255,   TomaNro= 61,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,264.0,,
  ,  , Corrida: ,1507 seg ,  ,  , Peltier: ,20.87, ºC     , teInsta: ,16.32, ºC     , Disip: ,21.37, ºC     ,  ,5:34:38,  E: ,COOLINGconPWM=255,   TomaNro= 62,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,264.0,,
  ,  , Corrida: ,1513 seg ,  ,  , Peltier: ,20.87, ºC     , teInsta: ,16.32, ºC     , Disip: ,21.37, ºC     ,  ,5:34:44,  E: ,COOLINGconPWM=255,   TomaNro= 63,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,264.0,,
  ,  , Corrida: ,1518 seg ,  ,  , Peltier: ,20.84, ºC     , teInsta: ,16.32, ºC     , Disip: ,21.37, ºC     ,  ,5:34:49,  E: ,COOLINGconPWM=255,   TomaNro= 64,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,264.0,,
  ,  , Corrida: ,1534 seg ,  ,  , Peltier: ,20.83, ºC     , teInsta: ,16.32, ºC     , Disip: ,21.37, ºC     ,  ,5:35:5,  E: ,COOLINGconPWM=255,   TomaNro= 65,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,264.0,,
  ,  , Corrida: ,1544 seg ,  ,  , Peltier: ,20.81, ºC     , teInsta: ,16.32, ºC     , Disip: ,21.37, ºC     ,  ,5:35:15,  E: ,COOLINGconPWM=255,   TomaNro= 66,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,264.0,,
  ,  , Corrida: ,1549 seg ,  ,  , Peltier: ,20.84, ºC     , teInsta: ,16.32, ºC     , Disip: ,21.37, ºC     ,  ,5:35:20,  E: ,COOLINGconPWM=255,   TomaNro= 67,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,264.0,,
  ,  , Corrida: ,1555 seg ,  ,  , Peltier: ,20.81, ºC     , teInsta: ,16.32, ºC     , Disip: ,21.37, ºC     ,  ,5:35:26,  E: ,COOLINGconPWM=255,   TomaNro= 68,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,264.0,,
  ,  , Corrida: ,1560 seg ,  ,  , Peltier: ,20.82, ºC     , teInsta: ,16.32, ºC     , Disip: ,21.37, ºC     ,  ,5:35:31,  E: ,COOLINGconPWM=255,   TomaNro= 69,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,264.0,,
  ,  , Corrida: ,1565 seg ,  ,  , Peltier: ,20.83, ºC     , teInsta: ,16.32, ºC     , Disip: ,21.37, ºC     ,  ,5:35:36,  E: ,COOLINGconPWM=255,   TomaNro= 70,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,264.0,,
  ,  , Corrida: ,1570 seg ,  ,  , Peltier: ,20.81, ºC     , teInsta: ,16.32, ºC     , Disip: ,21.37, ºC     ,  ,5:35:41,  E: ,COOLINGconPWM=255,   TomaNro= 71,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,264.0,,
  ,  , Corrida: ,1717 seg ,  ,  , Peltier: ,20.8, ºC     , teInsta: ,16.31, ºC     , Disip: ,21.37, ºC     ,  ,5:38:8,  E: ,COOLINGconPWM=255,   TomaNro= 72,   Modo ,3,     ,  , T1 Goal: ,16.0,T2 Meta ,32.0,freeMemory ,264.0,,
