22:47:37,TomaNro= 62,    Disip: ,33.56, ºC     , Peltier: ,20.79, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,383 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,HEATINGconPWM=255,
22:47:43,TomaNro= 63,    Disip: ,33.56, ºC     , Peltier: ,21.99, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,389 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,HEATINGconPWM=255,
22:47:49,TomaNro= 64,    Disip: ,33.56, ºC     , Peltier: ,24.75, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,395 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,BALANCEconPWM=255,
22:47:55,TomaNro= 65,    Disip: ,33.56, ºC     , Peltier: ,26.23, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,401 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,COOLINGconPWM=255,
22:48:1,TomaNro= 66,    Disip: ,33.56, ºC     , Peltier: ,26.17, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,407 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,COOLINGconPWM=255,
22:48:7,TomaNro= 67,    Disip: ,33.56, ºC     , Peltier: ,25.41, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,413 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,COOLINGconPWM=255,
22:48:13,TomaNro= 68,    Disip: ,33.56, ºC     , Peltier: ,24.46, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,419 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,COOLINGconPWM=255,
22:48:19,TomaNro= 69,    Disip: ,33.56, ºC     , Peltier: ,23.5, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,425 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,COOLINGconPWM=255,
22:48:25,TomaNro= 70,    Disip: ,33.56, ºC     , Peltier: ,22.54, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,431 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,COOLINGconPWM=255,
22:48:31,TomaNro= 71,    Disip: ,33.56, ºC     , Peltier: ,21.54, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,437 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,COOLINGconPWM=255,
22:48:38,TomaNro= 72,    Disip: ,33.56, ºC     , Peltier: ,20.73, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,444 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,HEATINGconPWM=255,
22:48:44,TomaNro= 73,    Disip: ,33.56, ºC     , Peltier: ,21.93, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,450 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,HEATINGconPWM=255,
22:48:50,TomaNro= 74,    Disip: ,33.56, ºC     , Peltier: ,24.7, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,456 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,BALANCEconPWM=255,
22:48:56,TomaNro= 75,    Disip: ,33.56, ºC     , Peltier: ,26.17, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,462 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,COOLINGconPWM=255,
22:49:2,TomaNro= 76,    Disip: ,33.56, ºC     , Peltier: ,26.11, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,468 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,COOLINGconPWM=255,
22:49:8,TomaNro= 77,    Disip: ,33.56, ºC     , Peltier: ,25.34, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,474 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,COOLINGconPWM=255,
22:49:14,TomaNro= 78,    Disip: ,33.56, ºC     , Peltier: ,24.39, ºC     , teInsta: ,22.0, ºC     , teAire: ,21.25, ºC     , Corrida: ,480 seg , T1 Goal: ,18.0,T2 Meta ,22.0,Modo ,1  E: ,COOLINGconPWM=255,
