17.06, ºC     ,15:57:52,TomaNro= 169,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.19, ºC     ,15:57:53,TomaNro= 170,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.25, ºC     ,15:57:54,TomaNro= 171,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.19, ºC     ,15:57:56,TomaNro= 172,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.12, ºC     ,15:57:57,TomaNro= 173,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.0, ºC     ,15:57:58,TomaNro= 174,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.94, ºC     ,15:57:58,TomaNro= 175,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.87, ºC     ,15:57:59,TomaNro= 176,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.81, ºC     ,15:58:0,TomaNro= 177,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.87, ºC     ,15:58:1,TomaNro= 178,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.94, ºC     ,15:58:3,TomaNro= 179,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.0, ºC     ,15:58:4,TomaNro= 180,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.06, ºC     ,15:58:4,TomaNro= 181,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.12, ºC     ,15:58:5,TomaNro= 182,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.19, ºC     ,15:58:6,TomaNro= 183,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.25, ºC     ,15:58:7,TomaNro= 184,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.31, ºC     ,15:58:8,TomaNro= 185,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.25, ºC     ,15:58:9,TomaNro= 186,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.19, ºC     ,15:58:10,TomaNro= 187,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.12, ºC     ,15:58:10,TomaNro= 188,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.06, ºC     ,15:58:11,TomaNro= 189,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.0, ºC     ,15:58:12,TomaNro= 190,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
16.94, ºC     ,15:58:13,TomaNro= 191,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.0, ºC     ,15:58:14,TomaNro= 192,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.06, ºC     ,15:58:16,TomaNro= 193,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.12, ºC     ,15:58:17,TomaNro= 194,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.19, ºC     ,15:58:17,TomaNro= 195,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.25, ºC     ,15:58:18,TomaNro= 196,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.31, ºC     ,15:58:19,TomaNro= 197,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
17.25, ºC     ,15:58:22,TomaNro= 198,    T1 Goal: ,16.0,T2 Meta ,33.0,Modo ,2,
