
23:31:0,TomaNro= 52,    Disip: ,23.94, ºC     , Peltier: ,19.97, ºC     , teInsta: ,20.0, ºC     , teAire: ,21.0, ºC     , Corrida: ,338 seg , T1 Goal: ,17.0,T2 Meta ,20.0,Modo ,3  E: ,BALANCEconPWM=165,
23:31:6,TomaNro= 53,    Disip: ,23.94, ºC     , Peltier: ,20.04, ºC     , teInsta: ,20.0, ºC     , teAire: ,21.0, ºC     , Corrida: ,344 seg , T1 Goal: ,17.0,T2 Meta ,22.0,Modo ,3  E: ,BALANCEconPWM=165,
23:31:13,TomaNro= 54,    Disip: ,23.94, ºC     , Peltier: ,20.14, ºC     , teInsta: ,20.0, ºC     , teAire: ,21.0, ºC     , Corrida: ,351 seg , T1 Goal: ,17.0,T2 Meta ,27.0,Modo ,3  E: ,BALANCEconPWM=165,
23:31:20,TomaNro= 55,    Disip: ,23.94, ºC     , Peltier: ,20.21, ºC     , teInsta: ,20.0, ºC     , teAire: ,21.0, ºC     , Corrida: ,357 seg , T1 Goal: ,17.0,T2 Meta ,27.0,Modo ,3  E: ,BALANCEconPWM=165EVENTO= 2,
23:31:26,TomaNro= 56,    Disip: ,22.87, ºC     , Peltier: ,20.22, ºC     , teInsta: ,17.28, ºC     , teAire: ,21.0, ºC     , Corrida: ,364 seg , T1 Goal: ,17.0,T2 Meta ,27.0,Modo ,3  E: ,COOLINGconPWM=255,
23:31:33,TomaNro= 57,    Disip: ,22.81, ºC     , Peltier: ,19.54, ºC     , teInsta: ,17.0, ºC     , teAire: ,21.0, ºC     , Corrida: ,371 seg , T1 Goal: ,17.0,T2 Meta ,27.0,Modo ,3  E: ,COOLINGconPWM=255,
23:31:39,TomaNro= 58,    Disip: ,22.81, ºC     , Peltier: ,18.56, ºC     , teInsta: ,17.0, ºC     , teAire: ,21.0, ºC     , Corrida: ,377 seg , T1 Goal: ,17.0,T2 Meta ,27.0,Modo ,3  E: ,COOLINGconPWM=255,
23:31:45,TomaNro= 59,    Disip: ,22.81, ºC     , Peltier: ,17.54, ºC     , teInsta: ,17.0, ºC     , teAire: ,21.0, ºC     , Corrida: ,383 seg , T1 Goal: ,17.0,T2 Meta ,27.0,Modo ,3  E: ,COOLINGconPWM=255,
23:31:51,TomaNro= 60,    Disip: ,22.81, ºC     , Peltier: ,16.5, ºC     , teInsta: ,17.0, ºC     , teAire: ,21.0, ºC     , Corrida: ,389 seg , T1 Goal: ,17.0,T2 Meta ,27.0,Modo ,3  E: ,BALANCEconPWM=165,
23:31:58,TomaNro= 61,    Disip: ,22.81, ºC     , Peltier: ,16.21, ºC     , teInsta: ,17.0, ºC     , teAire: ,21.0, ºC     , Corrida: ,396 seg , T1 Goal: ,17.0,T2 Meta ,27.0,Modo ,3  E: ,BALANCEconPWM=165,
23:32:5,TomaNro= 62,    Disip: ,27.12, ºC     , Peltier: ,16.46, ºC     , teInsta: ,26.53, ºC     , teAire: ,21.0, ºC     , Corrida: ,403 seg , T1 Goal: ,17.0,T2 Meta ,27.0,Modo ,3  E: ,HEATINGconPWM=255,
23:32:11,TomaNro= 63,    Disip: ,27.12, ºC     , Peltier: ,17.53, ºC     , teInsta: ,20.65, ºC     , teAire: ,21.0, ºC     , Corrida: ,409 seg , T1 Goal: ,17.0,T2 Meta ,27.0,Modo ,3  E: ,HEATINGconPWM=255,
