16:21:17,TomaNro= 53,    Disip: ,31.5, ºC     , Peltier: ,16.59, ºC     , teInsta: ,17.11, ºC     , teAire: ,24.75, ºC     , Corrida: ,346 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,BALANCEconPWM=165,
16:21:24,TomaNro= 54,    Disip: ,31.5, ºC     , Peltier: ,16.49, ºC     , teInsta: ,17.11, ºC     , teAire: ,24.75, ºC     , Corrida: ,353 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,BALANCEconPWM=165,
16:21:30,TomaNro= 55,    Disip: ,31.5, ºC     , Peltier: ,16.8, ºC     , teInsta: ,17.11, ºC     , teAire: ,24.75, ºC     , Corrida: ,359 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,BALANCEconPWM=165,
16:21:36,TomaNro= 56,    Disip: ,31.5, ºC     , Peltier: ,17.22, ºC     , teInsta: ,18.05, ºC     , teAire: ,24.75, ºC     , Corrida: ,365 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,HEATINGconPWM=245,
16:21:43,TomaNro= 57,    Disip: ,31.5, ºC     , Peltier: ,18.41, ºC     , teInsta: ,18.05, ºC     , teAire: ,24.75, ºC     , Corrida: ,372 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,HEATINGconPWM=165,
16:21:49,TomaNro= 58,    Disip: ,31.5, ºC     , Peltier: ,19.85, ºC     , teInsta: ,18.05, ºC     , teAire: ,24.75, ºC     , Corrida: ,378 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,BALANCEconPWM=165,
16:21:55,TomaNro= 59,    Disip: ,31.5, ºC     , Peltier: ,20.57, ºC     , teInsta: ,18.05, ºC     , teAire: ,24.75, ºC     , Corrida: ,384 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,COOLINGconPWM=255,
16:22:1,TomaNro= 60,    Disip: ,31.5, ºC     , Peltier: ,20.32, ºC     , teInsta: ,18.05, ºC     , teAire: ,24.75, ºC     , Corrida: ,390 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,COOLINGconPWM=255,
16:22:7,TomaNro= 61,    Disip: ,31.5, ºC     , Peltier: ,19.52, ºC     , teInsta: ,18.05, ºC     , teAire: ,24.5, ºC     , Corrida: ,396 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,COOLINGconPWM=255,
16:22:14,TomaNro= 62,    Disip: ,29.94, ºC     , Peltier: ,18.52, ºC     , teInsta: ,18.05, ºC     , teAire: ,24.5, ºC     , Corrida: ,403 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,COOLINGconPWM=255,
16:22:21,TomaNro= 63,    Disip: ,29.94, ºC     , Peltier: ,17.59, ºC     , teInsta: ,18.05, ºC     , teAire: ,24.5, ºC     , Corrida: ,410 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,BALANCEconPWM=165,
16:22:27,TomaNro= 64,    Disip: ,29.94, ºC     , Peltier: ,17.39, ºC     , teInsta: ,18.05, ºC     , teAire: ,24.5, ºC     , Corrida: ,416 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,BALANCEconPWM=165,
16:22:34,TomaNro= 65,    Disip: ,29.94, ºC     , Peltier: ,17.66, ºC     , teInsta: ,18.05, ºC     , teAire: ,24.5, ºC     , Corrida: ,423 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,BALANCEconPWM=165,
16:22:40,TomaNro= 66,    Disip: ,29.94, ºC     , Peltier: ,18.06, ºC     , teInsta: ,19.09, ºC     , teAire: ,24.5, ºC     , Corrida: ,429 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,HEATINGconPWM=255,
16:22:46,TomaNro= 67,    Disip: ,29.94, ºC     , Peltier: ,19.26, ºC     , teInsta: ,19.09, ºC     , teAire: ,24.5, ºC     , Corrida: ,435 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,HEATINGconPWM=212,
16:22:53,TomaNro= 68,    Disip: ,29.94, ºC     , Peltier: ,20.86, ºC     , teInsta: ,19.09, ºC     , teAire: ,24.5, ºC     , Corrida: ,442 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,BALANCEconPWM=165,
16:22:59,TomaNro= 69,    Disip: ,29.94, ºC     , Peltier: ,21.64, ºC     , teInsta: ,19.09, ºC     , teAire: ,24.5, ºC     , Corrida: ,448 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,COOLINGconPWM=255,
16:23:5,TomaNro= 70,    Disip: ,29.94, ºC     , Peltier: ,21.4, ºC     , teInsta: ,19.09, ºC     , teAire: ,24.5, ºC     , Corrida: ,454 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,COOLINGconPWM=255,
16:23:11,TomaNro= 71,    Disip: ,29.94, ºC     , Peltier: ,20.6, ºC     , teInsta: ,19.09, ºC     , teAire: ,24.0, ºC     , Corrida: ,460 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,COOLINGconPWM=255,
16:23:17,TomaNro= 72,    Disip: ,29.94, ºC     , Peltier: ,19.67, ºC     , teInsta: ,19.09, ºC     , teAire: ,24.0, ºC     , Corrida: ,466 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,COOLINGconPWM=255,
16:23:24,TomaNro= 73,    Disip: ,29.94, ºC     , Peltier: ,18.71, ºC     , teInsta: ,19.09, ºC     , teAire: ,24.0, ºC     , Corrida: ,472 seg , T1 Goal: ,4.0,T2 Meta ,16.0,Modo ,3  E: ,BALANCEconPWM=165,
